Hora,Packet loss (%),Round trip (ms)
2011-03-23T13:09:20+00:00,0.0,60.407
2011-03-23T13:10:28+00:00,0.0,59.358
2011-03-23T13:11:30+00:00,0.0,74.489
2011-03-23T13:12:20+00:00,0.0,63.977
2011-03-23T13:13:23+00:00,0.0,60.154
2011-03-23T13:14:20+00:00,0.0,59.425
2011-03-23T13:15:20+00:00,0.0,62.392
2011-03-23T13:16:19+00:00,0.0,60.834
2011-03-23T13:17:20+00:00,0.0,62.838
2011-03-23T13:18:20+00:00,0.0,62.125
2011-03-23T13:19:20+00:00,0.0,60.686
2011-03-23T13:20:19+00:00,0.0,60.35
2011-03-23T13:21:20+00:00,0.0,61.002
2011-03-23T13:22:20+00:00,10.0,66.877
2011-03-23T13:23:20+00:00,0.0,61.296
2011-03-23T13:24:25+00:00,0.0,59.717
2011-03-23T13:25:21+00:00,10.0,59.643
2011-03-23T13:26:20+00:00,0.0,62.545
2011-03-23T13:27:19+00:00,0.0,63.056
2011-03-23T13:28:21+00:00,10.0,66.011
2011-03-23T13:29:21+00:00,0.0,59.594
2011-03-23T13:30:20+00:00,0.0,60.104
2011-03-23T13:31:21+00:00,0.0,71.859
2011-03-23T13:32:20+00:00,0.0,59.874
2011-03-23T13:33:21+00:00,10.0,62.718
2011-03-23T13:34:20+00:00,0.0,60.305
2011-03-23T13:35:20+00:00,0.0,59.363
2011-03-23T13:36:20+00:00,0.0,60.784
2011-03-23T13:37:20+00:00,0.0,59.926
2011-03-23T13:38:20+00:00,0.0,59.435
2011-03-23T13:39:20+00:00,10.0,61.008
2011-03-23T13:40:20+00:00,0.0,61.519
2011-03-23T13:41:21+00:00,0.0,59.187
2011-03-23T13:42:20+00:00,0.0,62.247
2011-03-23T13:43:20+00:00,0.0,60.502
2011-03-23T13:44:20+00:00,0.0,59.336
2011-03-23T13:45:20+00:00,0.0,59.874
2011-03-23T13:46:20+00:00,0.0,60.46
2011-03-23T13:47:20+00:00,0.0,67.744
2011-03-23T13:48:19+00:00,0.0,68.639
2011-03-23T13:49:29+00:00,0.0,71.483
2011-03-23T13:50:24+00:00,0.0,70.695
2011-03-23T13:51:20+00:00,10.0,67.447
2011-03-23T13:52:20+00:00,0.0,59.444
2011-03-23T13:53:21+00:00,10.0,92.071
2011-03-23T13:54:38+00:00,0.0,85.264
2011-03-23T13:55:26+00:00,10.0,90.582
2011-03-23T13:56:20+00:00,0.0,69.677
2011-03-23T13:57:20+00:00,0.0,76.151
2011-03-23T13:58:20+00:00,10.0,80.346
2011-03-23T13:59:30+00:00,0.0,166.43
2011-03-23T14:00:26+00:00,10.0,66.085
2011-03-23T14:01:24+00:00,0.0,63.944
2011-03-23T14:02:20+00:00,0.0,61.716
2011-03-23T14:03:22+00:00,10.0,59.365
2011-03-23T14:04:20+00:00,0.0,61.017
2011-03-23T14:05:24+00:00,0.0,78.286
2011-03-23T14:06:20+00:00,0.0,61.942
2011-03-23T14:07:20+00:00,0.0,60.047
2011-03-23T14:08:20+00:00,0.0,73.656
2011-03-23T14:09:24+00:00,0.0,59.251
2011-03-23T14:10:20+00:00,0.0,59.6
2011-03-23T14:11:19+00:00,0.0,59.301
2011-03-23T14:12:20+00:00,0.0,59.564
2011-03-23T14:13:20+00:00,0.0,59.406
2011-03-23T14:14:19+00:00,0.0,59.43
2011-03-23T14:15:20+00:00,0.0,59.763
2011-03-23T14:16:20+00:00,0.0,60.614
2011-03-23T14:17:19+00:00,0.0,61.406
2011-03-23T14:18:25+00:00,0.0,61.133
2011-03-23T14:19:25+00:00,0.0,59.524
2011-03-23T14:20:23+00:00,0.0,59.193
2011-03-23T14:21:21+00:00,10.0,58.819
2011-03-23T14:22:20+00:00,0.0,59.881
2011-03-23T14:23:19+00:00,0.0,59.952
2011-03-23T14:24:24+00:00,0.0,59.959
2011-03-23T14:25:21+00:00,0.0,62.987
2011-03-23T14:26:28+00:00,10.0,59.774
2011-03-23T14:27:20+00:00,0.0,71.617
2011-03-23T14:28:20+00:00,0.0,66.812
2011-03-23T14:29:20+00:00,0.0,68.431
2011-03-23T14:30:20+00:00,0.0,74.553
2011-03-23T14:31:20+00:00,0.0,69.367
2011-03-23T14:32:20+00:00,10.0,78.483
2011-03-23T14:33:20+00:00,0.0,67.785
2011-03-23T14:34:20+00:00,0.0,115.873
2011-03-23T14:35:19+00:00,0.0,81.85
2011-03-23T14:36:20+00:00,0.0,66.97
2011-03-23T14:37:21+00:00,0.0,78.24
2011-03-23T14:38:20+00:00,10.0,66.512
2011-03-23T14:39:21+00:00,0.0,73.811
2011-03-23T14:40:20+00:00,0.0,63.125
2011-03-23T14:41:21+00:00,10.0,60.584
2011-03-23T14:42:25+00:00,0.0,73.146
2011-03-23T14:43:24+00:00,0.0,60.903
2011-03-23T14:44:22+00:00,10.0,60.376
2011-03-23T14:45:20+00:00,0.0,66.859
2011-03-23T14:46:20+00:00,0.0,59.719
2011-03-23T14:47:28+00:00,0.0,75.875
2011-03-23T14:48:20+00:00,0.0,73.389
2011-03-23T14:49:20+00:00,0.0,64.971
2011-03-23T14:50:19+00:00,0.0,62.444
2011-03-23T14:51:24+00:00,0.0,60.506
2011-03-23T14:52:20+00:00,0.0,68.221
2011-03-23T14:53:21+00:00,0.0,107.506
2011-03-23T14:54:19+00:00,0.0,72.676
2011-03-23T14:55:28+00:00,0.0,63.09
2011-03-23T14:56:20+00:00,0.0,61.529
2011-03-23T14:57:25+00:00,0.0,59.383
2011-03-23T14:58:19+00:00,0.0,69.192
2011-03-23T14:59:20+00:00,0.0,60.805
2011-03-23T15:00:24+00:00,0.0,60.258
2011-03-23T15:01:19+00:00,0.0,61.648
2011-03-23T15:02:21+00:00,10.0,77.951
